# Simulation 8 (Data loaded from a file)
# 1012 data points written for 20 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (27 m/s)
#
# Time (s),Altitude (m),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Angle of attack (°),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Thrust (N),Drag force (N),Drag coefficient (​),Air temperature (°C),Air pressure (mbar),Mach number (​)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
211.519,131.603,6.623,0.045,-271.68,0.081,271.68,NaN,1.164e4,2676,NaN,NaN,NaN,NaN,0,114.045,NaN,14.123,997.4,0.019
212.019,128.291,6.621,0.237,-272.743,0.081,272.743,NaN,1.164e4,2676,NaN,NaN,NaN,NaN,0,114.086,NaN,14.145,997.8,0.019
212.519,124.981,6.62,0.304,-273.739,0.081,273.739,NaN,1.164e4,2676,NaN,NaN,NaN,NaN,0,114.092,NaN,14.166,998.2,0.019
213.019,121.672,6.618,0.401,-274.747,0.081,274.747,NaN,1.164e4,2676,NaN,NaN,NaN,NaN,0,114.161,NaN,14.188,998.6,0.019
213.519,118.362,6.621,0.125,-275.789,0.08,275.789,NaN,1.164e4,2676,NaN,NaN,NaN,NaN,0,113.934,NaN,14.209,999,0.019
214.019,115.053,6.617,0.232,-276.845,0.08,276.845,NaN,1.164e4,2676,NaN,NaN,NaN,NaN,0,114.134,NaN,14.231,999.4,0.019
214.519,111.745,6.615,0.382,-277.882,0.08,277.882,NaN,1.164e4,2676,NaN,NaN,NaN,NaN,0,114.134,NaN,14.252,999.8,0.019
215.019,108.438,6.616,0.27,-278.838,0.08,278.838,NaN,1.164e4,2676,NaN,NaN,NaN,NaN,0,114.019,NaN,14.274,1000,0.019
215.519,105.13,6.615,0.165,-279.781,0.08,279.781,NaN,1.164e4,2676,NaN,NaN,NaN,NaN,0,114.044,NaN,14.295,1001,0.019
216.019,101.824,6.609,0.505,-280.807,0.08,280.807,NaN,1.164e4,2676,NaN,NaN,NaN,NaN,0,114.317,NaN,14.317,1001,0.019
216.519,98.519,6.615,0.256,-281.865,0.08,281.865,NaN,1.164e4,2676,NaN,NaN,NaN,NaN,0,113.89,NaN,14.338,1001,0.019
217.019,95.213,6.609,0.306,-282.852,0.08,282.852,NaN,1.164e4,2676,NaN,NaN,NaN,NaN,0,114.186,NaN,14.36,1002,0.019
217.519,91.907,6.612,0.218,-283.828,0.08,283.828,NaN,1.164e4,2676,NaN,NaN,NaN,NaN,0,113.982,NaN,14.381,1002,0.019
218.019,88.602,6.61,0.082,-284.822,0.08,284.822,NaN,1.164e4,2676,NaN,NaN,NaN,NaN,0,114.045,NaN,14.403,1002,0.019
218.519,85.297,6.608,0.192,-285.829,0.08,285.829,NaN,1.164e4,2676,NaN,NaN,NaN,NaN,0,114.064,NaN,14.424,1003,0.019
219.019,81.993,6.609,0.028,-286.864,0.08,286.864,NaN,1.164e4,2676,NaN,NaN,NaN,NaN,0,114.003,NaN,14.446,1003,0.019
219.519,78.689,6.607,0.083,-287.912,0.08,287.912,NaN,1.164e4,2676,NaN,NaN,NaN,NaN,0,114.051,NaN,14.467,1004,0.019
220.019,75.388,6.6,0.501,-288.909,0.08,288.909,NaN,1.164e4,2676,NaN,NaN,NaN,NaN,0,114.314,NaN,14.489,1004,0.019
220.519,72.086,6.608,0.087,-289.832,0.08,289.832,NaN,1.164e4,2676,NaN,NaN,NaN,NaN,0,113.825,NaN,14.51,1004,0.019
221.019,68.783,6.601,0.232,-290.773,0.08,290.773,NaN,1.164e4,2676,NaN,NaN,NaN,NaN,0,114.191,NaN,14.531,1005,0.019
221.519,65.482,6.604,0.136,-291.76,0.08,291.76,NaN,1.164e4,2676,NaN,NaN,NaN,NaN,0,113.958,NaN,14.553,1005,0.019
222.019,62.182,6.598,0.385,-292.812,0.08,292.812,NaN,1.164e4,2676,NaN,NaN,NaN,NaN,0,114.236,NaN,14.574,1006,0.019
222.519,58.881,6.603,0.013,-293.912,0.08,293.912,NaN,1.164e4,2676,NaN,NaN,NaN,NaN,0,113.885,NaN,14.596,1006,0.019
223.019,55.583,6.593,0.498,-294.948,0.08,294.948,NaN,1.164e4,2676,NaN,NaN,NaN,NaN,0,114.393,NaN,14.617,1006,0.019
223.519,52.285,6.598,0.458,-295.98,0.08,295.98,NaN,1.164e4,2676,NaN,NaN,NaN,NaN,0,114.029,NaN,14.639,1007,0.019
224.019,48.986,6.599,0.111,-297.054,0.079,297.054,NaN,1.164e4,2676,NaN,NaN,NaN,NaN,0,113.981,NaN,14.66,1007,0.019
224.519,45.688,6.594,0.329,-298.074,0.079,298.074,NaN,1.164e4,2676,NaN,NaN,NaN,NaN,0,114.178,NaN,14.682,1008,0.019
225.019,42.39,6.597,0.046,-299.058,0.079,299.058,NaN,1.164e4,2676,NaN,NaN,NaN,NaN,0,113.929,NaN,14.703,1008,0.019
225.519,39.093,6.593,0.212,-300.021,0.079,300.021,NaN,1.164e4,2676,NaN,NaN,NaN,NaN,0,114.133,NaN,14.724,1008,0.019
226.019,35.796,6.594,0.18,-300.936,0.079,300.936,NaN,1.164e4,2676,NaN,NaN,NaN,NaN,0,114.007,NaN,14.746,1009,0.019
226.519,32.5,6.59,0.355,-301.872,0.079,301.872,NaN,1.164e4,2676,NaN,NaN,NaN,NaN,0,114.184,NaN,14.767,1009,0.019
227.019,29.204,6.593,0.073,-302.862,0.079,302.862,NaN,1.164e4,2676,NaN,NaN,NaN,NaN,0,113.925,NaN,14.789,1009,0.019
227.519,25.909,6.589,0.183,-303.838,0.079,303.839,NaN,1.164e4,2676,NaN,NaN,NaN,NaN,0,114.121,NaN,14.81,1010,0.019
228.019,22.614,6.59,0.153,-304.811,0.079,304.811,NaN,1.164e4,2676,NaN,NaN,NaN,NaN,0,114.006,NaN,14.832,1010,0.019
228.519,19.319,6.589,0.068,-305.794,0.079,305.794,NaN,1.164e4,2676,NaN,NaN,NaN,NaN,0,114.042,NaN,14.853,1011,0.019
229.019,16.025,6.587,0.221,-306.796,0.079,306.796,NaN,1.164e4,2676,NaN,NaN,NaN,NaN,0,114.084,NaN,14.874,1011,0.019
229.519,12.733,6.584,0.364,-307.78,0.079,307.78,NaN,1.164e4,2676,NaN,NaN,NaN,NaN,0,114.148,NaN,14.896,1011,0.019
230.019,9.44,6.586,0.241,-308.688,0.079,308.688,NaN,1.164e4,2676,NaN,NaN,NaN,NaN,0,114.004,NaN,14.917,1012,0.019
230.519,6.148,6.584,0.19,-309.59,0.079,309.59,NaN,1.164e4,2676,NaN,NaN,NaN,NaN,0,114.072,NaN,14.939,1012,0.019
231.019,2.862,6.563,0.953,-310.635,0.079,310.635,NaN,1.164e4,2676,NaN,NaN,NaN,NaN,0,115.072,NaN,14.96,1013,0.019
# Event GROUND_HIT occurred at t=231.454 seconds
# Event SIMULATION_END occurred at t=231.454 seconds
231.454,0,6.589,0.156,-311.635,0.079,311.635,NaN,1.164e4,2676,NaN,NaN,NaN,NaN,0,113.279,NaN,14.981,1013,0.019
