# Time (s),Altitude (m),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Angle of attack (°),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Drag force (N),Drag coefficient (​),Air temperature (°C),Air pressure (mbar),Mach number (​),Dynamic Pressure (mbar)
20.071,2528.789,29.3,9.965,138.463,0.117,138.463,0.333,2.928e4,6362,14.905,0.299,227.795,205.813,5.252,0.383,-1.437,744.192,0.09,4.096
20.121,2530.212,28.812,9.958,138.756,0.118,138.756,0.269,2.928e4,6362,14.905,0.299,227.885,205.813,5.082,0.383,-1.446,744.061,0.089,3.961
20.171,2531.61,28.325,9.955,139.05,0.118,139.05,0.423,2.928e4,6362,14.905,0.299,227.661,205.813,4.907,0.383,-1.455,743.934,0.087,3.827
20.221,2532.983,27.838,9.949,139.343,0.119,139.343,0.412,2.928e4,6362,14.905,0.299,227.676,205.813,4.741,0.383,-1.464,743.808,0.086,3.696
20.271,2534.332,27.352,9.939,139.636,0.119,139.636,0.195,2.928e4,6362,14.905,0.299,227.989,205.813,4.585,0.383,-1.473,743.685,0.084,3.568
20.321,2535.655,26.866,9.927,139.929,0.12,139.93,0.185,2.928e4,6362,14.905,0.299,228.002,205.813,4.441,0.383,-1.482,743.564,0.083,3.442
20.371,2536.954,26.382,9.916,140.223,0.12,140.223,0.502,2.928e4,6362,14.905,0.299,227.543,205.813,4.3,0.383,-1.49,743.445,0.082,3.318
20.421,2538.227,25.898,9.911,140.515,0.121,140.515,0.497,2.928e4,6362,14.905,0.299,227.549,205.813,4.144,0.383,-1.498,743.328,0.08,3.197
20.471,2539.476,25.415,9.907,140.808,0.121,140.808,0.455,2.928e4,6362,14.905,0.299,227.609,205.813,3.988,0.383,-1.507,743.214,0.079,3.079
20.521,2540.7,24.932,9.903,141.101,0.122,141.101,0.378,2.928e4,6362,14.905,0.299,227.717,205.813,3.833,0.383,-1.515,743.102,0.077,2.963
20.571,2541.9,24.451,9.898,141.393,0.122,141.393,0.425,2.928e4,6362,14.905,0.299,227.649,205.813,3.688,0.383,-1.522,742.992,0.076,2.849
20.621,2543.075,23.97,9.889,141.685,0.123,141.685,0.693,2.928e4,6362,14.905,0.299,227.265,205.813,3.558,0.383,-1.53,742.885,0.074,2.738
20.671,2544.225,23.49,9.882,141.977,0.123,141.977,0.895,2.928e4,6362,14.905,0.299,226.98,205.813,3.427,0.383,-1.537,742.78,0.073,2.629
20.721,2545.35,23.01,9.874,142.269,0.124,142.269,1.135,2.928e4,6362,14.905,0.299,226.643,205.813,3.302,0.383,-1.545,742.677,0.071,2.522
20.771,2546.45,22.532,9.867,142.56,0.124,142.56,1.36,2.928e4,6362,14.905,0.299,226.333,205.813,3.178,0.383,-1.552,742.576,0.07,2.418
20.821,2547.526,22.055,9.863,142.852,0.125,142.852,1.386,2.928e4,6362,14.905,0.299,226.296,205.813,3.045,0.383,-1.559,742.478,0.069,2.317
20.871,2548.578,21.578,9.857,143.143,0.125,143.143,1.521,2.928e4,6362,14.905,0.299,226.111,205.813,2.921,0.383,-1.566,742.381,0.067,2.217
20.921,2549.604,21.103,9.853,143.433,0.126,143.433,1.537,2.928e4,6362,14.905,0.299,226.087,205.813,2.793,0.383,-1.572,742.287,0.066,2.121
20.971,2550.606,20.628,9.849,143.724,0.126,143.724,1.563,2.928e4,6362,14.905,0.299,226.052,205.813,2.668,0.383,-1.579,742.196,0.064,2.026
21.021,2551.584,20.155,9.845,144.014,0.127,144.014,1.679,2.928e4,6362,14.905,0.299,225.893,205.813,2.551,0.383,-1.585,742.106,0.063,1.934
21.071,2552.537,19.683,9.839,144.304,0.127,144.304,1.844,2.928e4,6362,14.905,0.299,225.671,205.813,2.439,0.383,-1.591,742.019,0.061,1.844
21.121,2553.465,19.212,9.832,144.594,0.128,144.594,2.26,2.928e4,6362,14.905,0.299,225.12,205.813,2.344,0.383,-1.598,741.934,0.06,1.757
21.171,2554.368,18.742,9.823,144.884,0.128,144.884,2.726,2.928e4,6362,14.905,0.299,224.516,205.813,2.256,0.383,-1.603,741.852,0.059,1.672
21.221,2555.247,18.274,9.817,145.173,0.129,145.173,3.069,2.928e4,6362,14.905,0.299,224.08,205.813,2.163,0.383,-1.609,741.771,0.057,1.589
21.271,2556.102,17.807,9.811,145.462,0.129,145.462,3.394,2.928e4,6362,14.905,0.299,223.674,205.813,2.071,0.383,-1.615,741.693,0.056,1.509
21.321,2556.932,17.341,9.806,145.75,0.13,145.75,3.705,2.928e4,6362,14.905,0.299,223.291,205.813,1.979,0.383,-1.62,741.617,0.054,1.431
21.371,2557.737,16.878,9.801,146.038,0.13,146.038,4.032,2.928e4,6362,14.905,0.299,222.895,205.813,1.891,0.382,-1.625,741.543,0.053,1.355
21.421,2558.518,16.415,9.794,146.326,0.131,146.326,4.586,2.928e4,6362,14.905,0.299,222.238,205.813,1.819,0.382,-1.63,741.472,0.052,1.282
21.471,2559.275,15.955,9.786,146.614,0.131,146.614,5.181,2.928e4,6362,14.905,0.299,221.553,205.813,1.752,0.382,-1.635,741.403,0.051,1.211
21.521,2560.007,15.497,9.783,146.901,0.132,146.901,5.453,2.928e4,6362,14.905,0.299,221.246,205.813,1.664,0.382,-1.64,741.336,0.049,1.142
21.571,2560.714,15.041,9.776,147.187,0.132,147.187,6.068,2.928e4,6362,14.905,0.299,220.567,205.813,1.6,0.382,-1.645,741.271,0.048,1.076
21.621,2561.397,14.587,9.77,147.473,0.133,147.474,6.685,2.928e4,6362,14.905,0.299,219.906,205.813,1.537,0.382,-1.649,741.209,0.047,1.012
21.671,2562.056,14.135,9.768,147.759,0.133,147.759,6.932,2.928e4,6362,14.905,0.299,219.646,205.813,1.452,0.383,-1.653,741.148,0.045,0.95
21.721,2562.69,13.686,9.764,148.045,0.134,148.045,7.421,2.928e4,6362,14.905,0.299,219.141,205.813,1.386,0.384,-1.657,741.09,0.044,0.891
21.771,2563.3,13.24,9.76,148.329,0.134,148.33,7.965,2.928e4,6362,14.905,0.299,218.594,205.813,1.323,0.385,-1.661,741.035,0.042,0.834
21.821,2563.886,12.798,9.755,148.614,0.135,148.614,8.595,2.928e4,6362,14.905,0.299,217.978,205.813,1.264,0.386,-1.665,740.981,0.041,0.779
21.871,2564.447,12.359,9.748,148.898,0.135,148.898,9.592,2.928e4,6362,14.905,0.299,217.04,205.813,1.224,0.387,-1.669,740.93,0.04,0.726
21.921,2564.984,11.923,9.739,149.181,0.136,149.181,10.732,2.928e4,6362,14.905,0.299,216.019,205.813,1.189,0.388,-1.672,740.881,0.039,0.676
21.971,2565.496,11.492,9.732,149.464,0.136,149.464,11.804,2.928e4,6362,14.905,0.299,215.108,205.813,1.147,0.389,-1.676,740.834,0.038,0.628
22.021,2565.984,11.066,9.726,149.747,0.137,149.747,12.823,2.928e4,6362,14.905,0.299,214.283,205.813,1.098,0.391,-1.679,740.789,0.037,0.582
22.071,2566.448,10.645,9.717,150.029,0.137,150.029,14.168,2.928e4,6362,14.905,0.299,213.251,205.813,1.059,0.392,-1.682,740.747,0.035,0.539
22.121,2566.887,10.229,9.71,150.31,0.138,150.31,15.472,2.928e4,6362,14.905,0.299,212.311,205.813,1.01,0.393,-1.685,740.706,0.034,0.497
22.171,2567.303,9.821,9.702,150.591,0.138,150.591,16.81,2.928e4,6362,14.905,0.299,211.402,205.813,0.956,0.394,-1.687,740.668,0.033,0.458
22.221,2567.694,9.419,9.695,150.871,0.139,150.871,18.165,2.928e4,6362,14.905,0.299,210.536,205.813,0.895,0.396,-1.69,740.633,0.032,0.422
22.271,2568.06,9.026,9.687,151.15,0.139,151.15,19.715,2.928e4,6362,14.905,0.299,209.609,205.813,0.836,0.397,-1.692,740.599,0.031,0.387
22.321,2568.403,8.642,9.682,151.429,0.14,151.429,21.49,2.928e4,6362,14.905,0.299,208.626,205.813,0.78,0.398,-1.695,740.568,0.03,0.355
22.371,2568.721,8.269,9.68,151.707,0.141,151.707,23.055,2.928e4,6362,14.905,0.299,207.823,205.813,0.715,0.4,-1.697,740.539,0.029,0.325
22.421,2569.015,7.908,9.677,151.985,0.141,151.985,24.876,2.928e4,6362,14.905,0.299,206.958,205.813,0.653,0.401,-1.699,740.512,0.028,0.297
22.471,2569.285,7.561,9.672,152.262,0.142,152.262,27.027,2.928e4,6362,14.905,0.299,206.027,205.813,0.596,0.402,-1.7,740.487,0.027,0.272
22.521,2569.531,7.23,9.665,152.538,0.142,152.538,29.36,2.928e4,6362,14.905,0.299,205.119,205.813,0.538,0.404,-1.702,740.465,0.027,0.248
22.571,2569.753,6.917,10.001,152.813,0.143,152.813,NaN,2.928e4,6362,14.905,0.299,0,205.813,12.395,11.163,-1.703,740.444,0.026,0.227
22.671,2570.122,6.33,9.941,153.362,0.144,153.362,NaN,2.928e4,6362,14.905,0.299,0,205.813,10.968,11.163,-1.706,740.411,0.024,0.19
22.772,2570.393,5.857,9.889,153.91,0.145,153.91,NaN,2.928e4,6362,14.905,0.299,0,205.813,10.141,11.163,-1.708,740.386,0.023,0.163
22.873,2570.564,5.528,9.843,154.457,0.146,154.457,NaN,2.928e4,6362,14.905,0.299,0,205.813,9.681,11.163,-1.709,740.37,0.023,0.145
22.974,2570.634,5.368,9.798,155.004,0.147,155.004,NaN,2.928e4,6362,14.905,0.299,0,205.813,9.193,11.163,-1.709,740.364,0.022,0.137
22.994,2570.636,5.359,9.79,155.11,0.147,155.11,NaN,2.928e4,6362,14.905,0.299,0,205.813,9.055,11.163,-1.709,740.364,0.022,0.136
23.096,2570.585,5.42,9.747,155.656,0.148,155.656,NaN,2.928e4,6362,14.905,0.299,0,205.813,9.026,11.163,-1.709,740.368,0.022,0.14
23.199,2570.431,5.66,9.702,156.201,0.149,156.201,NaN,2.928e4,6362,14.905,0.299,0,205.813,9.582,11.163,-1.708,740.382,0.023,0.152
23.302,2570.174,6.057,9.656,156.745,0.15,156.745,NaN,2.928e4,6362,14.905,0.299,0,205.813,9.922,11.163,-1.706,740.406,0.023,0.174
23.405,2569.811,6.584,9.605,157.288,0.151,157.288,NaN,2.928e4,6362,14.905,0.299,0,205.813,10.7,11.163,-1.704,740.439,0.024,0.206
23.51,2569.343,7.211,9.55,157.831,0.152,157.831,NaN,2.928e4,6362,14.905,0.299,0,205.813,11.515,11.163,-1.701,740.482,0.025,0.247
23.614,2568.768,7.915,9.476,158.374,0.153,158.374,NaN,2.928e4,6362,14.905,0.299,0,205.813,13.775,11.163,-1.697,740.534,0.027,0.298
23.72,2568.082,8.675,9.395,158.917,0.154,158.917,NaN,2.928e4,6362,14.905,0.299,0,205.813,16.075,11.163,-1.693,740.597,0.029,0.358
23.826,2567.284,9.477,9.304,159.461,0.155,159.461,NaN,2.928e4,6362,14.905,0.299,0,205.813,18.741,11.163,-1.687,740.67,0.032,0.427
23.934,2566.371,10.313,9.207,160.005,0.156,160.005,NaN,2.928e4,6362,14.905,0.299,0,205.813,21.283,11.163,-1.681,740.754,0.034,0.506
24.042,2565.34,11.174,9.091,160.551,0.157,160.551,NaN,2.928e4,6362,14.905,0.299,0,205.813,24.849,11.163,-1.675,740.848,0.036,0.594
24.152,2564.186,12.054,8.969,161.098,0.158,161.098,NaN,2.928e4,6362,14.905,0.299,0,205.813,28.419,11.163,-1.667,740.954,0.039,0.691
24.264,2562.905,12.95,8.838,161.646,0.16,161.646,NaN,2.928e4,6362,14.905,0.299,0,205.813,32.089,11.163,-1.659,741.071,0.041,0.797
24.377,2561.491,13.858,8.688,162.196,0.161,162.196,NaN,2.928e4,6362,14.905,0.299,0,205.813,36.805,11.163,-1.65,741.2,0.044,0.913
24.492,2559.939,14.776,8.535,162.748,0.162,162.748,NaN,2.928e4,6362,14.905,0.299,0,205.813,41.125,11.163,-1.64,741.342,0.047,1.039
24.609,2558.242,15.703,8.373,163.303,0.163,163.303,NaN,2.928e4,6362,14.905,0.299,0,205.813,45.614,11.163,-1.629,741.497,0.049,1.173
24.729,2556.393,16.637,8.198,163.859,0.164,163.859,NaN,2.928e4,6362,14.905,0.299,0,205.813,50.558,11.163,-1.617,741.667,0.052,1.317
24.851,2554.382,17.577,8.009,164.418,0.165,164.418,NaN,2.928e4,6362,14.905,0.299,0,205.813,56.04,11.163,-1.603,741.85,0.055,1.47
24.976,2552.2,18.522,7.812,164.981,0.166,164.981,NaN,2.928e4,6362,14.905,0.299,0,205.813,61.662,11.163,-1.589,742.05,0.057,1.633
25.104,2549.835,19.472,7.598,165.548,0.168,165.548,NaN,2.928e4,6362,14.905,0.299,0,205.813,67.994,11.163,-1.574,742.266,0.06,1.805
25.235,2547.273,20.424,7.372,166.119,0.169,166.119,NaN,2.928e4,6362,14.905,0.299,0,205.813,74.766,11.163,-1.557,742.501,0.063,1.987
25.371,2544.497,21.379,7.137,166.694,0.17,166.694,NaN,2.928e4,6362,14.905,0.299,0,205.813,81.799,11.163,-1.539,742.755,0.066,2.177
25.511,2541.49,22.335,6.886,167.275,0.171,167.275,NaN,2.928e4,6362,14.905,0.299,0,205.813,89.557,11.163,-1.52,743.03,0.069,2.377
25.656,2538.229,23.291,6.63,167.86,0.173,167.86,NaN,2.928e4,6362,14.905,0.299,0,205.813,97.061,11.163,-1.498,743.328,0.072,2.586
25.807,2534.693,24.249,6.362,168.45,0.174,168.45,NaN,2.928e4,6362,14.905,0.299,0,205.813,105.016,11.163,-1.476,743.652,0.075,2.804
25.964,2530.852,25.208,6.084,169.043,0.175,169.043,NaN,2.928e4,6362,14.905,0.299,0,205.813,113.148,11.163,-1.451,744.003,0.077,3.031
26.128,2526.673,26.167,5.794,169.641,0.177,169.642,NaN,2.928e4,6362,14.905,0.299,0,205.813,121.794,11.163,-1.423,744.385,0.08,3.268
26.301,2522.114,27.126,5.495,170.244,0.178,170.244,NaN,2.928e4,6362,14.905,0.299,0,205.813,130.342,11.163,-1.394,744.802,0.083,3.513
26.483,2517.127,28.087,5.184,170.85,0.18,170.85,NaN,2.928e4,6362,14.905,0.299,0,205.813,139.464,11.163,-1.361,745.259,0.086,3.768
26.676,2511.65,29.047,4.861,171.461,0.181,171.461,NaN,2.928e4,6362,14.905,0.299,0,205.813,148.931,11.163,-1.326,745.76,0.089,4.033
26.882,2505.607,30.006,4.527,172.076,0.183,172.076,NaN,2.928e4,6362,14.905,0.299,0,205.813,158.642,11.163,-1.286,746.312,0.092,4.306
27.103,2498.901,30.965,4.18,172.694,0.185,172.694,NaN,2.928e4,6362,14.905,0.299,0,205.813,168.406,11.163,-1.243,746.931,0.094,4.589
27.342,2491.404,31.925,3.824,173.316,0.186,173.317,NaN,2.928e4,6362,14.905,0.299,0,205.813,179.041,11.163,-1.194,747.653,0.097,4.881
27.603,2482.954,32.881,3.458,173.942,0.188,173.942,NaN,2.928e4,6362,14.905,0.299,0,205.813,189.874,11.163,-1.139,748.466,0.1,5.183
27.892,2473.328,33.834,3.086,174.567,0.19,174.567,NaN,2.928e4,6362,14.905,0.299,0,205.813,201.198,11.163,-1.077,749.393,0.103,5.493
28.216,2462.23,34.779,2.701,175.183,0.192,175.183,NaN,2.928e4,6362,14.905,0.299,0,205.813,212.49,11.163,-1.004,750.461,0.106,5.811
28.587,2449.194,35.717,2.306,175.781,0.194,175.781,NaN,2.928e4,6362,14.905,0.299,0,205.813,224.054,11.163,-0.92,751.716,0.108,6.137
29.02,2433.51,36.648,1.892,176.344,0.196,176.344,NaN,2.928e4,6362,14.905,0.299,0,205.813,235.721,11.163,-0.818,753.225,0.111,6.471
29.52,2414.974,37.521,1.51,176.823,0.199,176.823,NaN,2.928e4,6362,14.905,0.299,0,205.813,247.377,11.163,-0.697,755.009,0.114,6.797
30.02,2396.048,38.197,1.181,177.137,0.201,177.137,NaN,2.928e4,6362,14.905,0.299,0,205.813,256.432,11.163,-0.574,756.831,0.116,7.058
30.52,2376.82,38.717,0.921,177.301,0.203,177.301,NaN,2.928e4,6362,14.905,0.299,0,205.813,263.7,11.163,-0.449,758.682,0.117,7.266
31.02,2357.362,39.113,0.721,177.337,0.205,177.337,NaN,2.928e4,6362,14.905,0.299,0,205.813,269.469,11.163,-0.323,760.555,0.118,7.43
31.52,2337.732,39.41,0.578,177.264,0.206,177.264,NaN,2.928e4,6362,14.905,0.299,0,205.813,274.025,11.163,-0.195,762.444,0.119,7.558
32.02,2317.972,39.63,0.47,177.092,0.208,177.092,NaN,2.928e4,6362,14.905,0.299,0,205.813,277.54,11.163,-0.067,764.346,0.12,7.658
32.52,2298.12,39.789,0.456,176.828,0.209,176.829,NaN,2.928e4,6362,14.905,0.299,0,205.813,280.424,11.163,0.062,766.257,0.12,7.736
33.02,2278.2,39.902,0.308,176.471,0.21,176.471,NaN,2.928e4,6362,14.905,0.299,0,205.813,282.253,11.163,0.192,768.174,0.12,7.795
33.52,2258.235,39.98,0.281,176.03,0.211,176.031,NaN,2.928e4,6362,14.905,0.299,0,205.813,283.885,11.163,0.321,770.096,0.121,7.842
34.02,2238.238,40.031,0.226,175.523,0.212,175.523,NaN,2.928e4,6362,14.905,0.299,0,205.813,285.066,11.163,0.451,772.021,0.121,7.877
34.52,2218.224,40.061,0.134,174.955,0.212,174.955,NaN,2.928e4,6362,14.905,0.299,0,205.813,285.928,11.163,0.582,773.947,0.121,7.905
35.02,2198.199,40.074,0.134,174.343,0.213,174.344,NaN,2.928e4,6362,14.905,0.299,0,205.813,286.665,11.163,0.712,775.875,0.121,7.926
35.52,2178.173,40.075,0.116,173.698,0.213,173.698,NaN,2.928e4,6362,14.905,0.299,0,205.813,287.206,11.163,0.842,777.802,0.121,7.943
36.02,2158.149,40.066,0.153,173.022,0.214,173.022,NaN,2.928e4,6362,14.905,0.299,0,205.813,287.655,11.163,0.972,779.73,0.121,7.955
36.52,2138.132,40.05,0.111,172.314,0.214,172.314,NaN,2.928e4,6362,14.905,0.299,0,205.813,287.932,11.163,1.102,781.656,0.121,7.965
37.02,2118.126,40.029,0.17,171.574,0.214,171.574,NaN,2.928e4,6362,14.905,0.299,0,205.813,288.221,11.163,1.232,783.582,0.12,7.972
37.52,2098.133,40.005,0.107,170.801,0.214,170.801,NaN,2.928e4,6362,14.905,0.299,0,205.813,288.337,11.163,1.362,785.506,0.12,7.978
38.02,2078.154,39.976,0.161,169.998,0.215,169.998,NaN,2.928e4,6362,14.905,0.299,0,205.813,288.516,11.163,1.492,787.43,0.12,7.983
38.52,2058.19,39.947,0.102,169.165,0.215,169.165,NaN,2.928e4,6362,14.905,0.299,0,205.813,288.561,11.163,1.622,789.351,0.12,7.986
39.02,2038.243,39.915,0.101,168.304,0.215,168.304,NaN,2.928e4,6362,14.905,0.299,0,205.813,288.635,11.163,1.751,791.271,0.12,7.989
39.52,2018.314,39.881,0.073,167.424,0.215,167.425,NaN,2.928e4,6362,14.905,0.299,0,205.813,288.672,11.163,1.881,793.189,0.12,7.991
40.02,1998.402,39.845,0.106,166.537,0.215,166.537,NaN,2.928e4,6362,14.905,0.299,0,205.813,288.735,11.163,2.01,795.114,0.12,7.993
40.52,1978.508,39.81,0.115,165.642,0.215,165.642,NaN,2.928e4,6362,14.905,0.299,0,205.813,288.802,11.163,2.14,797.127,0.12,7.995
41.02,1958.633,39.774,0.077,164.727,0.215,164.727,NaN,2.928e4,6362,14.905,0.299,0,205.813,288.82,11.163,2.269,799.139,0.119,7.997
41.52,1938.777,39.736,0.088,163.8,0.215,163.8,NaN,2.928e4,6362,14.905,0.299,0,205.813,288.859,11.163,2.398,801.149,0.119,7.998
42.02,1918.94,39.698,0.078,162.867,0.214,162.867,NaN,2.928e4,6362,14.905,0.299,0,205.813,288.875,11.163,2.527,803.157,0.119,7.999
42.52,1899.123,39.659,0.082,161.93,0.214,161.93,NaN,2.928e4,6362,14.905,0.299,0,205.813,288.892,11.163,2.656,805.162,0.119,7.999
43.02,1879.325,39.62,0.097,160.99,0.214,160.991,NaN,2.928e4,6362,14.905,0.299,0,205.813,288.909,11.163,2.784,807.166,0.119,8
43.52,1859.547,39.582,0.116,160.041,0.214,160.041,NaN,2.928e4,6362,14.905,0.299,0,205.813,288.924,11.163,2.913,809.168,0.119,8.001
44.02,1839.789,39.545,0.09,159.074,0.214,159.074,NaN,2.928e4,6362,14.905,0.299,0,205.813,288.906,11.163,3.041,811.168,0.119,8.001
44.52,1820.051,39.506,0.079,158.091,0.214,158.091,NaN,2.928e4,6362,14.905,0.299,0,205.813,288.897,11.163,3.17,813.166,0.118,8.002
45.02,1800.332,39.467,0.104,157.103,0.213,157.103,NaN,2.928e4,6362,14.905,0.299,0,205.813,288.905,11.163,3.298,815.162,0.118,8.002
45.52,1780.634,39.426,0.094,156.125,0.213,156.125,NaN,2.928e4,6362,14.905,0.299,0,205.813,288.894,11.163,3.426,817.155,0.118,8.001
46.02,1760.955,39.385,0.125,155.162,0.213,155.163,NaN,2.928e4,6362,14.905,0.299,0,205.813,288.906,11.163,3.554,819.147,0.118,8
46.52,1741.295,39.344,0.078,154.218,0.213,154.218,NaN,2.928e4,6362,14.905,0.299,0,205.813,288.872,11.163,3.682,821.137,0.118,7.999
47.02,1721.655,39.305,0.079,153.287,0.213,153.287,NaN,2.928e4,6362,14.905,0.299,0,205.813,288.867,11.163,3.809,823.125,0.118,7.999
47.52,1702.034,39.266,0.078,152.354,0.212,152.355,NaN,2.928e4,6362,14.905,0.299,0,205.813,288.859,11.163,3.937,825.111,0.118,7.999
48.02,1682.433,39.228,0.084,151.421,0.212,151.422,NaN,2.928e4,6362,14.905,0.299,0,205.813,288.856,11.163,4.064,827.095,0.117,7.999
48.52,1662.851,39.19,0.089,150.486,0.212,150.486,NaN,2.928e4,6362,14.905,0.299,0,205.813,288.851,11.163,4.191,829.077,0.117,7.999
49.02,1643.288,39.153,0.076,149.54,0.212,149.54,NaN,2.928e4,6362,14.905,0.299,0,205.813,288.834,11.163,4.319,831.057,0.117,7.999
49.52,1623.745,39.115,0.078,148.589,0.211,148.589,NaN,2.928e4,6362,14.905,0.299,0,205.813,288.828,11.163,4.446,833.035,0.117,7.999
50.02,1604.22,39.077,0.097,147.637,0.211,147.637,NaN,2.928e4,6362,14.905,0.299,0,205.813,288.831,11.163,4.573,835.011,0.117,7.999
50.52,1584.714,39.041,0.084,146.674,0.211,146.675,NaN,2.928e4,6362,14.905,0.299,0,205.813,288.811,11.163,4.699,836.986,0.117,7.999
51.02,1565.227,39.003,0.108,145.709,0.211,145.71,NaN,2.928e4,6362,14.905,0.299,0,205.813,288.816,11.163,4.826,838.958,0.117,7.998
51.52,1545.759,38.963,0.079,144.759,0.21,144.759,NaN,2.928e4,6362,14.905,0.299,0,205.813,288.791,11.163,4.953,840.929,0.116,7.997
52.02,1526.309,38.925,0.113,143.821,0.21,143.821,NaN,2.928e4,6362,14.905,0.299,0,205.813,288.801,11.163,5.079,842.897,0.116,7.997
52.52,1506.878,38.886,0.084,142.898,0.21,142.898,NaN,2.928e4,6362,14.905,0.299,0,205.813,288.776,11.163,5.205,844.864,0.116,7.996
53.02,1487.466,38.849,0.081,141.99,0.21,141.99,NaN,2.928e4,6362,14.905,0.299,0,205.813,288.791,11.163,5.331,846.893,0.116,7.996
53.52,1468.072,38.812,0.095,141.082,0.209,141.083,NaN,2.928e4,6362,14.905,0.299,0,205.813,288.819,11.163,5.458,848.956,0.116,7.997
54.02,1448.696,38.776,0.091,140.164,0.209,140.164,NaN,2.928e4,6362,14.905,0.299,0,205.813,288.828,11.163,5.583,851.017,0.116,7.998
54.52,1429.34,38.74,0.083,139.231,0.209,139.232,NaN,2.928e4,6362,14.905,0.299,0,205.813,288.831,11.163,5.709,853.076,0.116,7.999
55.02,1410.002,38.703,0.077,138.288,0.209,138.288,NaN,2.928e4,6362,14.905,0.299,0,205.813,288.831,11.163,5.835,855.133,0.115,7.999
55.52,1390.683,38.666,0.085,137.339,0.208,137.339,NaN,2.928e4,6362,14.905,0.299,0,205.813,288.836,11.163,5.961,857.188,0.115,7.999
56.02,1371.382,38.63,0.076,136.382,0.208,136.382,NaN,2.928e4,6362,14.905,0.299,0,205.813,288.828,11.163,6.086,859.241,0.115,8
56.52,1352.101,38.592,0.077,135.423,0.208,135.423,NaN,2.928e4,6362,14.905,0.299,0,205.813,288.825,11.163,6.211,861.292,0.115,7.999
57.02,1332.838,38.554,0.093,134.467,0.208,134.467,NaN,2.928e4,6362,14.905,0.299,0,205.813,288.827,11.163,6.337,863.341,0.115,7.999
57.52,1313.594,38.515,0.096,133.519,0.207,133.52,NaN,2.928e4,6362,14.905,0.299,0,205.813,288.823,11.163,6.462,865.388,0.115,7.999
58.02,1294.369,38.477,0.081,132.587,0.207,132.587,NaN,2.928e4,6362,14.905,0.299,0,205.813,288.808,11.163,6.587,867.433,0.115,7.998
58.52,1275.162,38.439,0.076,131.665,0.207,131.666,NaN,2.928e4,6362,14.905,0.299,0,205.813,288.802,11.163,6.711,869.476,0.114,7.997
59.02,1255.974,38.402,0.082,130.746,0.207,130.746,NaN,2.928e4,6362,14.905,0.299,0,205.813,288.796,11.163,6.836,871.517,0.114,7.997
59.52,1236.804,38.365,0.074,129.828,0.206,129.828,NaN,2.928e4,6362,14.905,0.299,0,205.813,288.785,11.163,6.961,873.557,0.114,7.997
60.02,1217.652,38.328,0.073,128.916,0.206,128.917,NaN,2.928e4,6362,14.905,0.299,0,205.813,288.778,11.163,7.085,875.594,0.114,7.997
60.52,1198.519,38.292,0.093,128.006,0.206,128.006,NaN,2.928e4,6362,14.905,0.299,0,205.813,288.782,11.163,7.21,877.629,0.114,7.996
61.02,1179.404,38.257,0.072,127.088,0.206,127.088,NaN,2.928e4,6362,14.905,0.299,0,205.813,288.761,11.163,7.334,879.662,0.114,7.997
61.52,1160.307,38.221,0.106,126.163,0.205,126.163,NaN,2.928e4,6362,14.905,0.299,0,205.813,288.774,11.163,7.458,881.694,0.114,7.997
62.02,1141.228,38.186,0.075,125.228,0.205,125.228,NaN,2.928e4,6362,14.905,0.299,0,205.813,288.744,11.163,7.582,883.723,0.114,7.997
62.52,1122.167,38.15,0.082,124.287,0.205,124.287,NaN,2.928e4,6362,14.905,0.299,0,205.813,288.74,11.163,7.706,885.751,0.113,7.997
63.02,1103.124,38.114,0.072,123.353,0.204,123.353,NaN,2.928e4,6362,14.905,0.299,0,205.813,288.73,11.163,7.83,887.776,0.113,7.996
63.52,1084.099,38.079,0.074,122.422,0.204,122.423,NaN,2.928e4,6362,14.905,0.299,0,205.813,288.722,11.163,7.953,889.8,0.113,7.996
64.02,1065.091,38.043,0.077,121.493,0.204,121.493,NaN,2.928e4,6362,14.905,0.299,0,205.813,288.718,11.163,8.077,891.822,0.113,7.996
64.52,1046.101,38.008,0.075,120.563,0.204,120.563,NaN,2.928e4,6362,14.905,0.299,0,205.813,288.708,11.163,8.2,893.842,0.113,7.996
65.02,1027.129,37.973,0.07,119.632,0.203,119.632,NaN,2.928e4,6362,14.905,0.299,0,205.813,288.699,11.163,8.324,895.86,0.113,7.995
65.52,1008.174,37.938,0.069,118.704,0.203,118.704,NaN,2.928e4,6362,14.905,0.299,0,205.813,288.692,11.163,8.447,897.876,0.113,7.995
66.02,989.236,37.904,0.07,117.776,0.203,117.776,NaN,2.928e4,6362,14.905,0.299,0,205.813,288.703,11.163,8.57,899.948,0.113,7.996
66.52,970.316,37.869,0.084,116.848,0.203,116.848,NaN,2.928e4,6362,14.905,0.299,0,205.813,288.728,11.163,8.693,902.062,0.112,7.996
67.02,951.413,37.833,0.078,115.924,0.202,115.925,NaN,2.928e4,6362,14.905,0.299,0,205.813,288.738,11.163,8.816,904.174,0.112,7.996
67.52,932.528,37.797,0.102,115.011,0.202,115.011,NaN,2.928e4,6362,14.905,0.299,0,205.813,288.761,11.163,8.939,906.284,0.112,7.996
